,x,Lives in a communal establishment,Density,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Dependent children in household: All ages,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
160,E07000156,1.00,4.60,81.30,0.80,0.10,5.10,1.60,0.30,0.50,0.50,4.10,0.40,0.70,0.20,0.50,1.20,1.90,0.50,0.10,0.30,30.20,30.50,49.20,0.20,3.20,10.00,7.00,8.60,17.60,60.90,12.90,0.00,0.00,0.00,0.00,0.00,13.60,42.60,8.10,4.70,2.60,14.70,3.40,4.30,3.80,2.20,1.30,1.00,0.60,1.80,8.60,17.60,60.90,12.90
161,E07000151,2.50,1.20,93.10,0.70,0.10,2.70,0.50,0.10,0.40,0.20,0.70,0.20,0.10,0.20,0.30,0.30,0.30,0.10,0.00,0.10,30.10,26.50,54.20,0.20,2.90,9.60,6.60,10.00,17.60,55.80,16.60,0.00,0.00,0.00,0.00,0.00,13.80,41.20,11.80,3.00,2.60,15.30,3.40,3.60,2.50,2.70,0.80,0.80,0.30,1.10,10.00,17.60,55.80,16.60
162,E07000155,0.80,1.30,94.10,0.70,0.00,2.20,0.30,0.20,0.40,0.30,0.70,0.10,0.10,0.20,0.30,0.20,0.20,0.10,0.00,0.10,30.80,24.20,58.00,0.20,2.40,8.80,6.50,10.20,17.30,55.00,17.50,0.00,0.00,0.00,0.00,0.00,14.40,43.40,13.30,2.40,2.70,14.70,3.00,3.40,1.70,1.10,0.60,0.70,0.20,0.80,10.20,17.30,55.00,17.50
163,E08000007,0.80,22.50,89.00,1.40,0.00,1.70,0.60,0.30,0.50,0.40,1.00,2.40,0.20,0.60,0.70,0.30,0.30,0.10,0.30,0.30,29.30,32.20,48.30,0.20,2.50,9.20,7.70,8.80,19.90,60.10,11.30,0.00,0.00,0.00,0.00,0.00,14.60,40.50,9.60,3.90,2.70,15.30,4.20,3.50,4.20,1.60,1.10,0.80,0.50,1.50,8.80,19.90,60.10,11.30
164,E08000008,0.70,21.30,88.50,0.70,0.00,1.70,0.60,0.20,0.40,0.20,1.70,2.20,2.00,0.40,0.30,0.50,0.20,0.10,0.10,0.10,30.10,35.30,43.50,0.20,3.00,10.40,7.60,7.10,19.40,64.20,9.40,0.00,0.00,0.00,0.00,0.00,13.20,40.60,7.40,5.00,2.50,14.70,4.30,4.00,6.20,2.20,1.60,0.80,0.80,2.00,7.10,19.40,64.20,9.40
165,E06000015,1.70,31.90,75.30,0.90,0.10,3.90,1.60,0.20,0.70,0.40,4.40,5.90,0.30,0.50,1.50,1.30,1.40,0.30,0.30,1.00,30.90,36.50,44.70,0.20,2.70,9.00,7.00,9.70,20.90,59.50,9.90,0.00,0.00,0.00,0.00,0.00,14.70,38.50,6.50,5.20,4.20,12.80,6.30,4.80,4.80,2.40,1.70,0.70,1.00,2.00,9.70,20.90,59.50,9.90
166,E06000015,1.70,31.90,75.30,0.90,0.10,3.90,1.60,0.20,0.70,0.40,4.40,5.90,0.30,0.50,1.50,1.30,1.40,0.30,0.30,1.00,30.90,36.50,44.70,0.20,2.70,9.00,7.00,9.70,20.90,59.50,9.90,0.00,0.00,0.00,0.00,0.00,14.70,38.50,6.50,5.20,4.20,12.80,6.30,4.80,4.80,2.40,1.70,0.70,1.00,2.00,9.70,20.90,59.50,9.90
167,E07000035,2.20,0.90,96.80,0.50,0.00,1.30,0.20,0.10,0.20,0.10,0.10,0.10,0.00,0.10,0.20,0.00,0.10,0.00,0.00,0.10,24.90,25.40,54.80,0.30,2.10,9.00,8.40,11.90,20.60,49.20,18.30,0.00,0.00,0.00,0.00,0.00,15.90,34.90,14.60,2.70,2.20,19.10,3.30,3.00,2.50,1.80,0.70,0.70,0.30,1.10,11.90,20.60,49.20,18.30
168,E07000032,0.90,4.60,96.50,0.30,0.00,1.30,0.40,0.10,0.20,0.10,0.30,0.10,0.00,0.20,0.20,0.10,0.10,0.00,0.00,0.10,27.50,28.80,50.70,0.30,2.30,10.00,7.80,9.30,19.40,58.20,13.10,0.00,0.00,0.00,0.00,0.00,14.80,40.00,9.00,3.90,2.20,17.40,3.40,3.80,4.10,1.50,1.20,0.70,0.50,1.60,9.30,19.40,58.20,13.10
169,E06000054,2.80,1.40,93.40,0.50,0.20,2.60,0.40,0.10,0.40,0.30,0.30,0.00,0.10,0.30,0.60,0.30,0.20,0.10,0.10,0.20,29.70,27.40,53.60,0.20,2.40,9.50,6.90,10.10,18.60,55.40,15.80,0.00,0.00,0.00,0.00,0.00,15.00,42.20,11.20,2.90,2.60,14.70,3.30,4.00,2.70,1.50,0.80,0.70,0.30,1.10,10.10,18.60,55.40,15.80
170,E08000034,1.30,10.30,76.70,0.60,0.00,1.80,1.20,0.20,0.60,0.30,4.90,9.90,0.20,0.30,0.70,0.60,1.10,0.20,0.30,0.40,30.90,32.40,48.40,0.20,2.80,9.30,6.80,9.50,21.50,57.60,11.30,0.00,0.00,0.00,0.00,0.00,14.50,36.50,9.00,4.70,3.50,14.30,5.70,5.00,4.40,2.40,1.40,0.80,0.90,1.90,9.50,21.50,57.60,11.30
171,E08000017,1.70,5.30,91.80,0.40,0.20,2.80,0.50,0.10,0.30,0.20,0.60,0.90,0.00,0.40,0.60,0.40,0.30,0.10,0.10,0.30,29.60,32.20,46.90,0.20,2.80,10.30,7.70,8.40,21.90,58.30,11.40,0.00,0.00,0.00,0.00,0.00,15.00,36.70,7.30,5.70,2.20,15.40,4.00,4.90,5.90,3.00,1.90,0.90,1.00,2.20,8.40,21.90,58.30,11.40
172,E08000017,1.70,5.30,91.80,0.40,0.20,2.80,0.50,0.10,0.30,0.20,0.60,0.90,0.00,0.40,0.60,0.40,0.30,0.10,0.10,0.30,29.60,32.20,46.90,0.20,2.80,10.30,7.70,8.40,21.90,58.30,11.40,0.00,0.00,0.00,0.00,0.00,15.00,36.70,7.30,5.70,2.20,15.40,4.00,4.90,5.90,3.00,1.90,0.90,1.00,2.20,8.40,21.90,58.30,11.40
173,E08000017,1.70,5.30,91.80,0.40,0.20,2.80,0.50,0.10,0.30,0.20,0.60,0.90,0.00,0.40,0.60,0.40,0.30,0.10,0.10,0.30,29.60,32.20,46.90,0.20,2.80,10.30,7.70,8.40,21.90,58.30,11.40,0.00,0.00,0.00,0.00,0.00,15.00,36.70,7.30,5.70,2.20,15.40,4.00,4.90,5.90,3.00,1.90,0.90,1.00,2.20,8.40,21.90,58.30,11.40
174,E07000108,2.00,3.50,93.00,0.50,0.20,3.00,0.30,0.10,0.30,0.20,0.40,0.00,0.10,0.20,1.00,0.20,0.10,0.00,0.10,0.20,26.40,29.50,48.30,0.30,3.00,10.70,8.30,10.00,20.90,55.20,13.90,0.00,0.00,0.00,0.00,0.00,14.70,36.10,9.80,4.50,2.40,17.60,4.00,4.40,4.50,2.10,1.20,0.90,0.60,1.70,10.00,20.90,55.20,13.90
175,E08000027,0.80,31.90,88.50,0.40,0.10,1.00,1.10,0.10,0.40,0.20,1.80,3.30,0.10,0.30,0.50,0.40,0.80,0.20,0.40,0.20,29.70,31.20,50.20,0.10,2.40,8.40,7.80,9.00,20.80,59.50,10.70,0.00,0.00,0.00,0.00,0.00,15.00,38.20,7.50,5.30,2.50,16.20,4.30,4.60,4.40,2.00,1.50,1.00,0.90,2.40,9.00,20.80,59.50,10.70
176,E08000027,0.80,31.90,88.50,0.40,0.10,1.00,1.10,0.10,0.40,0.20,1.80,3.30,0.10,0.30,0.50,0.40,0.80,0.20,0.40,0.20,29.70,31.20,50.20,0.10,2.40,8.40,7.80,9.00,20.80,59.50,10.70,0.00,0.00,0.00,0.00,0.00,15.00,38.20,7.50,5.30,2.50,16.20,4.30,4.60,4.40,2.00,1.50,1.00,0.90,2.40,9.00,20.80,59.50,10.70
177,E09000022,1.00,113.00,39.00,2.50,0.10,15.50,2.70,1.40,1.20,2.30,1.60,1.00,0.70,1.50,2.00,11.60,9.50,4.80,0.60,1.90,26.80,58.40,26.20,0.80,3.80,7.30,3.50,6.80,14.30,61.60,17.30,0.00,0.00,0.00,0.00,0.00,9.50,46.50,11.30,6.00,3.80,5.60,6.80,3.50,3.80,3.30,1.20,1.00,1.10,2.40,6.80,14.30,61.60,17.30
178,E09000028,2.00,99.90,39.70,2.20,0.10,12.30,2.00,1.30,1.00,1.90,2.00,0.60,1.40,2.80,2.70,16.40,6.20,4.20,0.80,2.40,28.30,54.70,28.50,0.90,4.30,7.80,3.80,7.80,15.80,58.90,17.50,0.00,0.00,0.00,0.00,0.00,9.90,42.20,10.00,6.00,4.90,5.80,9.90,3.80,4.30,3.30,1.20,1.00,1.20,2.40,7.80,15.80,58.90,17.50
179,E09000009,1.10,61.00,30.40,3.10,0.10,15.40,1.20,0.60,1.40,1.30,14.30,4.30,0.50,1.20,9.30,5.10,3.90,1.90,2.90,3.10,33.90,40.60,44.10,0.40,3.00,6.80,5.10,8.20,16.70,61.40,13.70,0.00,0.00,0.00,0.00,0.00,10.20,39.70,12.30,5.20,3.90,8.30,7.40,5.80,3.60,3.50,1.10,0.90,1.20,2.00,8.20,16.70,61.40,13.70
180,E09000009,1.10,61.00,30.40,3.10,0.10,15.40,1.20,0.60,1.40,1.30,14.30,4.30,0.50,1.20,9.30,5.10,3.90,1.90,2.90,3.10,33.90,40.60,44.10,0.40,3.00,6.80,5.10,8.20,16.70,61.40,13.70,0.00,0.00,0.00,0.00,0.00,10.20,39.70,12.30,5.20,3.90,8.30,7.40,5.80,3.60,3.50,1.10,0.90,1.20,2.00,8.20,16.70,61.40,13.70
181,E06000047,2.50,2.30,96.60,0.20,0.10,1.20,0.20,0.10,0.20,0.10,0.30,0.10,0.00,0.30,0.20,0.10,0.00,0.00,0.10,0.10,27.30,32.40,47.20,0.20,2.50,9.70,7.90,8.20,19.80,60.80,11.10,0.00,0.00,0.00,0.00,0.00,13.20,37.50,6.60,4.40,2.70,17.10,6.20,3.70,6.50,2.20,1.50,0.80,0.80,1.80,8.20,19.80,60.80,11.10
182,E07000041,5.10,25.00,88.30,0.50,0.10,4.10,0.30,0.20,0.70,0.40,0.80,0.10,0.20,1.70,1.10,0.40,0.10,0.00,0.60,0.30,24.70,43.70,38.20,0.20,2.10,9.40,6.40,12.00,21.20,56.50,10.30,0.00,0.00,0.00,0.00,0.00,14.90,36.90,7.60,3.10,5.60,11.10,12.80,2.90,3.50,1.60,1.00,0.60,0.30,1.10,12.00,21.20,56.50,10.30
183,E07000040,2.20,1.60,96.20,0.40,0.10,1.70,0.20,0.10,0.30,0.20,0.20,0.00,0.10,0.20,0.30,0.10,0.00,0.00,0.00,0.10,22.60,23.70,54.40,0.20,2.10,9.80,9.90,11.80,22.60,50.60,15.10,0.00,0.00,0.00,0.00,0.00,16.00,32.50,14.10,2.40,2.30,22.40,2.90,3.30,2.80,1.30,0.70,0.70,0.20,0.80,11.80,22.60,50.60,15.10
184,E09000025,0.60,85.00,16.70,0.70,0.20,11.40,1.30,1.10,0.90,1.30,13.80,9.80,12.10,1.30,6.50,12.30,4.90,2.40,1.10,2.30,39.20,45.20,40.50,0.30,3.80,6.20,4.10,11.10,22.60,56.80,9.50,0.00,0.00,0.00,0.00,0.00,11.50,30.90,9.50,6.90,8.40,5.80,10.90,7.20,4.20,4.70,1.60,0.90,2.00,2.50,11.10,22.60,56.80,9.50
185,E07000085,1.90,2.20,93.00,0.60,0.20,2.70,0.30,0.10,0.40,0.30,0.40,0.00,0.10,0.30,0.70,0.30,0.10,0.00,0.10,0.10,29.40,25.50,55.90,0.10,2.20,8.90,7.40,11.20,18.20,54.30,16.40,0.00,0.00,0.00,0.00,0.00,14.30,40.20,13.30,2.60,2.60,15.30,3.90,4.30,2.30,1.30,0.70,0.70,0.30,0.90,11.20,18.20,54.30,16.40
186,E07000211,2.50,10.70,85.00,1.10,0.10,4.40,0.50,0.30,0.80,0.60,1.60,0.90,0.40,0.70,1.60,1.00,0.40,0.20,0.20,0.40,31.10,30.80,51.50,0.20,2.20,8.40,6.90,9.50,16.90,58.00,15.60,0.00,0.00,0.00,0.00,0.00,13.50,44.00,12.30,2.90,2.50,12.40,3.50,4.40,2.30,2.10,0.80,0.70,0.30,1.10,9.50,16.90,58.00,15.60
187,E07000215,2.50,3.30,89.30,1.00,0.30,3.20,0.60,0.20,0.80,0.50,0.90,0.20,0.10,0.50,0.90,0.50,0.40,0.10,0.10,0.30,30.40,28.80,52.80,0.20,2.40,8.70,7.20,10.40,17.50,55.10,17.00,0.00,0.00,0.00,0.00,0.00,13.50,40.70,14.20,2.80,2.20,14.10,4.30,4.30,2.20,1.60,0.80,0.80,0.30,1.00,10.40,17.50,55.10,17.00
188,E07000229,1.80,32.20,89.40,0.80,0.10,3.50,0.40,0.30,0.60,0.40,0.70,0.20,0.50,0.50,1.30,0.60,0.20,0.10,0.10,0.30,25.80,31.50,45.70,0.30,2.80,11.20,8.50,10.30,20.00,57.80,11.90,0.00,0.00,0.00,0.00,0.00,15.00,39.70,10.70,3.50,3.20,15.40,3.10,3.70,4.20,1.60,0.90,0.80,0.40,1.30,10.30,20.00,57.80,11.90
189,E07000223,1.20,14.60,92.90,0.70,0.20,2.10,0.30,0.30,0.50,0.30,0.40,0.10,0.40,0.40,0.40,0.40,0.10,0.00,0.30,0.20,25.90,29.60,47.90,0.30,2.50,10.70,9.00,10.20,21.60,56.60,11.70,0.00,0.00,0.00,0.00,0.00,16.00,37.50,11.40,3.30,2.50,16.80,3.30,3.90,3.60,1.50,1.00,0.80,0.40,1.30,10.20,21.60,56.60,11.70
190,E06000011,2.20,1.40,96.10,0.30,0.10,1.60,0.20,0.10,0.20,0.10,0.30,0.10,0.00,0.20,0.20,0.10,0.10,0.00,0.10,0.10,26.50,26.10,54.20,0.20,2.20,9.20,8.00,10.30,20.70,54.30,14.70,0.00,0.00,0.00,0.00,0.00,15.40,37.00,10.10,3.60,2.70,19.50,3.70,3.20,3.10,1.70,1.00,0.80,0.40,1.40,10.30,20.70,54.30,14.70
191,E07000065,1.90,1.80,93.80,0.60,0.20,2.80,0.20,0.10,0.40,0.20,0.30,0.00,0.10,0.30,0.40,0.10,0.10,0.00,0.10,0.10,27.00,24.90,55.10,0.20,2.30,9.40,8.20,12.10,20.30,51.30,16.30,0.00,0.00,0.00,0.00,0.00,14.80,34.40,15.70,2.50,2.60,18.00,3.40,4.30,2.70,1.50,0.70,0.70,0.30,0.90,12.10,20.30,51.30,16.30
192,E07000061,2.50,22.50,87.40,1.00,0.10,5.60,0.40,0.30,0.60,0.50,0.70,0.10,0.30,0.60,1.10,0.50,0.20,0.10,0.20,0.30,24.50,33.30,42.80,0.40,3.00,11.50,9.10,10.70,21.50,56.00,11.90,0.00,0.00,0.00,0.00,0.00,14.80,35.00,10.30,4.10,3.80,16.80,5.20,3.80,4.50,1.80,1.10,0.90,0.40,1.70,10.70,21.50,56.00,11.90
193,E07000086,0.70,15.70,91.80,0.50,0.20,2.30,0.30,0.20,0.50,0.40,1.60,0.10,0.20,0.50,0.60,0.30,0.10,0.00,0.20,0.30,30.10,28.90,52.30,0.10,2.40,9.60,6.70,9.90,19.10,57.80,13.20,0.00,0.00,0.00,0.00,0.00,15.90,43.80,9.70,3.00,3.00,14.10,3.10,3.60,2.60,1.20,0.80,0.70,0.30,1.10,9.90,19.10,57.80,13.20
194,E06000050,1.00,3.60,94.70,0.70,0.10,2.00,0.30,0.10,0.30,0.20,0.40,0.10,0.20,0.30,0.30,0.20,0.10,0.00,0.10,0.10,27.60,30.90,49.90,0.20,2.10,9.30,7.70,9.90,20.20,57.20,12.70,0.00,0.00,0.00,0.00,0.00,14.90,39.30,9.00,3.70,3.30,16.40,4.40,3.50,3.90,1.50,1.00,0.80,0.40,1.40,9.90,20.20,57.20,12.70
195,E06000049,1.40,3.20,93.60,0.60,0.10,2.50,0.40,0.10,0.30,0.20,0.60,0.20,0.10,0.30,0.40,0.20,0.10,0.10,0.10,0.10,27.90,28.50,52.10,0.20,2.20,9.30,7.70,9.90,19.40,56.50,14.20,0.00,0.00,0.00,0.00,0.00,14.40,39.40,10.70,3.20,2.80,17.10,4.20,3.50,3.10,1.50,0.80,0.80,0.40,1.30,9.90,19.40,56.50,14.20
196,E09000010,0.80,38.70,40.50,2.20,0.10,18.20,1.60,0.80,1.30,1.80,3.70,0.80,1.80,0.80,4.00,9.00,5.50,2.60,0.60,4.50,36.70,38.20,44.00,0.20,3.80,8.00,5.80,9.90,20.70,57.60,11.80,0.00,0.00,0.00,0.00,0.00,13.00,34.50,11.20,5.90,3.80,9.80,7.70,6.00,4.10,3.90,1.40,0.90,1.40,2.30,9.90,20.70,57.60,11.80
197,E06000050,1.00,3.60,94.70,0.70,0.10,2.00,0.30,0.10,0.30,0.20,0.40,0.10,0.20,0.30,0.30,0.20,0.10,0.00,0.10,0.10,27.60,30.90,49.90,0.20,2.10,9.30,7.70,9.90,20.20,57.20,12.70,0.00,0.00,0.00,0.00,0.00,14.90,39.30,9.00,3.70,3.30,16.40,4.40,3.50,3.90,1.50,1.00,0.80,0.40,1.40,9.90,20.20,57.20,12.70
198,E08000035,2.70,13.60,81.10,0.90,0.10,2.90,1.20,0.30,0.70,0.50,2.10,3.00,0.60,0.80,1.20,2.00,0.90,0.60,0.50,0.60,27.60,40.80,41.50,0.20,2.60,8.40,6.50,9.70,19.80,59.50,11.00,0.00,0.00,0.00,0.00,0.00,13.10,38.80,7.50,4.80,5.30,12.40,8.20,3.60,4.00,2.20,1.40,0.80,0.90,1.90,9.70,19.80,59.50,11.00
199,E09000011,1.80,53.80,52.30,1.70,0.20,8.30,1.60,1.10,0.90,1.30,3.10,1.00,0.60,2.00,5.00,13.80,3.20,2.10,0.40,1.40,33.60,43.40,38.90,0.30,3.80,8.30,5.20,8.80,18.00,59.10,14.00,0.00,0.00,0.00,0.00,0.00,11.10,38.50,9.80,6.20,5.20,8.40,7.50,5.10,4.60,3.60,1.50,0.90,1.30,2.40,8.80,18.00,59.10,14.00
200,E09000010,0.80,38.70,40.50,2.20,0.10,18.20,1.60,0.80,1.30,1.80,3.70,0.80,1.80,0.80,4.00,9.00,5.50,2.60,0.60,4.50,36.70,38.20,44.00,0.20,3.80,8.00,5.80,9.90,20.70,57.60,11.80,0.00,0.00,0.00,0.00,0.00,13.00,34.50,11.20,5.90,3.80,9.80,7.70,6.00,4.10,3.90,1.40,0.90,1.40,2.30,9.90,20.70,57.60,11.80
201,E07000072,0.80,3.70,85.20,1.10,0.10,4.00,0.70,0.20,0.60,0.60,2.40,0.70,0.20,0.50,0.90,1.00,0.80,0.20,0.10,0.50,29.50,31.30,49.90,0.20,2.40,8.60,7.70,10.10,17.50,55.90,16.40,0.00,0.00,0.00,0.00,0.00,13.30,38.30,14.60,3.60,2.30,14.10,4.50,4.90,2.60,1.90,1.00,0.70,0.50,1.40,10.10,17.50,55.90,16.40
202,E07000208,1.40,22.00,78.60,1.50,0.20,5.60,0.50,0.30,1.00,0.70,2.40,0.90,0.40,1.20,3.70,0.90,0.40,0.20,0.70,0.70,31.90,31.00,52.90,0.20,2.10,7.30,6.60,10.50,17.60,57.10,14.90,0.00,0.00,0.00,0.00,0.00,13.70,41.90,11.70,2.70,3.50,13.40,5.10,4.20,2.10,1.60,0.70,0.60,0.30,1.00,10.50,17.60,57.10,14.90
203,E07000210,1.60,3.30,90.10,0.90,0.10,3.90,0.30,0.10,0.60,0.40,0.80,0.20,0.20,0.40,0.90,0.20,0.20,0.10,0.20,0.30,28.10,26.70,55.00,0.20,2.20,8.40,7.60,11.30,18.10,53.60,17.00,0.00,0.00,0.00,0.00,0.00,13.90,39.20,14.70,2.50,2.40,15.70,3.80,4.40,2.10,1.40,0.70,0.60,0.30,0.90,11.30,18.10,53.60,17.00
204,E07000211,2.50,10.70,85.00,1.10,0.10,4.40,0.50,0.30,0.80,0.60,1.60,0.90,0.40,0.70,1.60,1.00,0.40,0.20,0.20,0.40,31.10,30.80,51.50,0.20,2.20,8.40,6.90,9.50,16.90,58.00,15.60,0.00,0.00,0.00,0.00,0.00,13.50,44.00,12.30,2.90,2.50,12.40,3.50,4.40,2.30,2.10,0.80,0.70,0.30,1.10,9.50,16.90,58.00,15.60
205,E07000036,1.00,10.20,95.20,0.50,0.00,1.30,0.70,0.10,0.20,0.20,0.70,0.10,0.00,0.20,0.20,0.10,0.30,0.10,0.00,0.10,28.30,31.20,48.40,0.10,2.50,10.20,7.50,9.00,19.40,60.60,11.00,0.00,0.00,0.00,0.00,0.00,15.10,41.50,8.00,4.50,2.40,15.60,3.60,3.80,4.00,1.60,1.50,0.90,0.60,1.90,9.00,19.40,60.60,11.00
206,E09000004,0.50,38.30,77.30,1.10,0.30,3.20,0.70,0.40,0.60,0.60,3.00,0.30,0.30,1.10,1.80,6.90,1.00,0.60,0.10,0.60,33.10,33.80,47.80,0.10,2.90,8.10,7.20,9.20,18.40,60.50,11.90,0.00,0.00,0.00,0.00,0.00,13.90,40.30,9.90,4.40,3.20,13.20,5.50,4.60,3.00,2.00,1.20,0.80,0.70,1.70,9.20,18.40,60.50,11.90
207,E09000011,1.80,53.80,52.30,1.70,0.20,8.30,1.60,1.10,0.90,1.30,3.10,1.00,0.60,2.00,5.00,13.80,3.20,2.10,0.40,1.40,33.60,43.40,38.90,0.30,3.80,8.30,5.20,8.80,18.00,59.10,14.00,0.00,0.00,0.00,0.00,0.00,11.10,38.50,9.80,6.20,5.20,8.40,7.50,5.10,4.60,3.60,1.50,0.90,1.30,2.40,8.80,18.00,59.10,14.00
208,E07000207,1.10,13.80,79.90,1.60,0.10,8.70,0.40,0.30,1.20,0.80,1.90,0.40,0.40,0.90,1.80,0.50,0.20,0.10,0.50,0.50,33.40,27.50,55.10,0.20,2.20,8.20,6.70,10.00,16.20,52.90,20.90,0.00,0.00,0.00,0.00,0.00,11.90,41.80,14.70,2.70,2.30,12.20,4.50,6.40,1.80,1.80,0.60,0.70,0.20,1.00,10.00,16.20,52.90,20.90
209,E07000041,5.10,25.00,88.30,0.50,0.10,4.10,0.30,0.20,0.70,0.40,0.80,0.10,0.20,1.70,1.10,0.40,0.10,0.00,0.60,0.30,24.70,43.70,38.20,0.20,2.10,9.40,6.40,12.00,21.20,56.50,10.30,0.00,0.00,0.00,0.00,0.00,14.90,36.90,7.60,3.10,5.60,11.10,12.80,2.90,3.50,1.60,1.00,0.60,0.30,1.10,12.00,21.20,56.50,10.30
210,E07000087,1.30,15.00,94.70,0.40,0.10,1.60,0.30,0.10,0.60,0.20,0.60,0.10,0.10,0.40,0.30,0.20,0.10,0.00,0.10,0.10,28.20,25.50,55.20,0.20,2.30,9.10,7.60,10.10,19.00,57.20,13.70,0.00,0.00,0.00,0.00,0.00,15.20,42.40,9.30,2.60,3.20,17.30,3.40,3.20,2.20,1.20,0.80,0.70,0.20,0.90,10.10,19.00,57.20,13.70
211,E07000110,1.70,3.90,89.10,0.60,0.50,3.80,0.40,0.20,0.50,0.40,0.80,0.20,0.20,0.30,1.60,0.60,0.20,0.10,0.10,0.20,30.60,29.90,51.30,0.20,2.70,9.10,6.80,9.90,18.30,56.10,15.80,0.00,0.00,0.00,0.00,0.00,14.40,41.30,11.30,3.40,2.60,14.40,3.60,4.50,2.70,1.90,1.10,0.70,0.50,1.20,9.90,18.30,56.10,15.80
212,E07000113,1.80,3.60,92.90,0.60,0.50,2.60,0.40,0.20,0.30,0.30,0.40,0.10,0.20,0.20,0.30,0.70,0.20,0.10,0.00,0.10,31.40,31.30,48.30,0.20,3.20,10.00,7.00,9.60,18.80,56.40,15.30,0.00,0.00,0.00,0.00,0.00,14.00,38.10,9.80,4.60,2.30,15.10,3.70,5.20,4.40,2.70,1.50,0.90,0.80,1.80,9.60,18.80,56.40,15.30
213,E09000018,0.80,45.40,37.90,1.90,0.10,11.50,0.90,0.70,1.30,1.20,19.00,5.40,0.90,0.90,8.20,4.20,1.30,1.00,1.40,2.10,34.50,38.50,45.60,0.30,3.00,7.40,5.10,8.40,16.70,61.90,13.00,0.00,0.00,0.00,0.00,0.00,10.80,41.90,10.70,4.60,4.40,8.30,6.70,5.90,3.40,3.20,1.10,0.80,0.90,1.70,8.40,16.70,61.90,13.00
214,E06000025,1.70,5.30,91.90,0.50,0.10,2.50,0.60,0.20,0.40,0.30,1.00,0.30,0.10,0.50,0.60,0.40,0.40,0.10,0.10,0.20,30.60,30.40,51.90,0.10,2.20,8.90,6.40,10.30,19.60,58.50,11.50,0.00,0.00,0.00,0.00,0.00,16.30,42.90,8.90,2.80,3.50,14.20,4.10,3.20,2.50,1.50,0.80,0.50,0.30,1.00,10.30,19.60,58.50,11.50
215,E09000003,1.10,41.10,45.50,2.40,0.00,16.20,0.90,0.90,1.70,1.40,7.80,1.50,0.60,2.30,6.20,5.40,1.30,1.00,1.50,3.40,33.50,37.20,46.80,0.20,2.80,7.10,5.80,10.30,18.40,55.90,15.40,0.00,0.00,0.00,0.00,0.00,11.80,36.10,15.60,4.40,3.50,8.90,8.20,5.50,3.10,3.00,1.00,0.80,0.80,1.70,10.30,18.40,55.90,15.40
216,E07000112,1.70,3.00,90.80,0.70,0.20,3.00,0.40,0.10,0.40,0.30,0.40,0.10,0.20,0.30,2.50,0.30,0.10,0.00,0.10,0.20,26.00,30.80,46.90,0.30,3.10,10.90,8.20,10.10,20.70,54.90,14.30,0.00,0.00,0.00,0.00,0.00,14.30,35.10,10.30,4.60,2.90,17.70,3.70,4.50,4.90,2.10,1.20,1.00,0.60,1.90,10.10,20.70,54.90,14.30
217,E07000105,0.80,2.00,89.40,0.60,0.50,3.20,0.50,0.20,0.40,0.30,0.80,0.10,0.20,0.40,1.90,0.80,0.30,0.10,0.10,0.30,32.30,29.00,51.70,0.20,2.80,9.50,6.80,10.30,19.10,55.30,15.30,0.00,0.00,0.00,0.00,0.00,14.60,39.40,11.90,3.60,3.10,14.40,3.30,4.90,3.10,1.70,1.00,0.80,0.40,1.30,10.30,19.10,55.30,15.30
218,E07000080,2.30,1.60,96.70,0.30,0.10,1.40,0.20,0.10,0.20,0.10,0.20,0.00,0.00,0.20,0.20,0.10,0.10,0.10,0.00,0.10,26.50,27.40,53.20,0.20,2.10,9.20,7.90,11.00,20.30,54.40,14.30,0.00,0.00,0.00,0.00,0.00,14.90,35.40,12.40,3.50,2.60,17.70,4.40,3.90,3.70,1.60,1.00,0.80,0.50,1.40,11.00,20.30,54.40,14.30
