,x,Lives in a communal establishment,Density,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Dependent children in household: All ages,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
12,E07000105,0.80,2.00,89.40,0.60,0.50,3.20,0.50,0.20,0.40,0.30,0.80,0.10,0.20,0.40,1.90,0.80,0.30,0.10,0.10,0.30,32.30,29.00,51.70,0.20,2.80,9.50,6.80,10.30,19.10,55.30,15.30,0.00,0.00,0.00,0.00,0.00,14.60,39.40,11.90,3.60,3.10,14.40,3.30,4.90,3.10,1.70,1.00,0.80,0.40,1.30,10.30,19.10,55.30,15.30
13,E08000008,0.70,21.30,88.50,0.70,0.00,1.70,0.60,0.20,0.40,0.20,1.70,2.20,2.00,0.40,0.30,0.50,0.20,0.10,0.10,0.10,30.10,35.30,43.50,0.20,3.00,10.40,7.60,7.10,19.40,64.20,9.40,0.00,0.00,0.00,0.00,0.00,13.20,40.60,7.40,5.00,2.50,14.70,4.30,4.00,6.20,2.20,1.60,0.80,0.80,2.00,7.10,19.40,64.20,9.40
14,E08000004,0.80,15.80,75.60,0.70,0.00,1.30,0.90,0.20,0.50,0.20,0.70,10.10,7.30,0.30,0.80,0.70,0.40,0.10,0.10,0.20,33.80,33.10,46.60,0.10,3.30,9.10,7.80,7.80,21.70,61.10,9.30,0.00,0.00,0.00,0.00,0.00,13.90,36.60,7.80,5.40,3.00,14.00,5.10,5.70,5.80,2.90,1.70,0.80,1.00,2.00,7.80,21.70,61.10,9.30
15,E07000007,1.60,5.30,75.90,0.90,0.10,4.40,1.30,0.20,0.80,0.50,1.70,7.60,0.30,0.60,1.80,1.00,2.00,0.50,0.20,0.30,31.40,31.10,52.40,0.10,2.40,7.80,6.10,10.40,17.40,56.80,15.40,0.00,0.00,0.00,0.00,0.00,12.90,41.60,12.20,3.20,3.60,12.70,5.10,4.90,2.00,1.80,0.80,0.70,0.50,1.20,10.40,17.40,56.80,15.40
16,E07000004,2.00,1.90,85.20,0.90,0.10,3.50,0.90,0.30,0.60,0.50,1.10,3.10,0.10,0.40,1.10,1.00,0.70,0.20,0.20,0.20,32.20,29.30,53.00,0.20,2.60,8.80,6.10,9.60,17.70,56.60,16.10,0.00,0.00,0.00,0.00,0.00,14.00,43.20,12.30,3.10,2.70,12.40,4.10,4.20,2.20,1.90,0.80,0.70,0.30,1.10,9.60,17.70,56.60,16.10
17,E07000177,2.10,2.40,86.30,0.80,0.10,5.00,0.60,0.30,0.50,0.40,1.20,1.70,0.10,0.50,0.80,0.70,0.40,0.20,0.10,0.30,31.40,30.40,51.70,0.30,2.30,9.20,6.10,9.20,17.80,58.80,14.30,0.00,0.00,0.00,0.00,0.00,14.60,45.30,10.30,2.80,2.60,12.30,3.40,3.80,2.50,2.30,0.80,0.60,0.30,1.00,9.20,17.80,58.80,14.30
18,E09000002,0.50,51.50,49.50,0.90,0.10,7.80,1.40,1.10,0.70,1.00,4.00,4.30,4.10,0.70,2.80,15.40,2.80,1.70,0.50,1.00,41.50,38.80,41.90,0.20,4.10,8.70,6.40,9.00,20.00,61.50,9.50,0.00,0.00,0.00,0.00,0.00,12.20,34.90,9.00,7.30,4.30,8.60,7.40,7.40,5.10,3.70,1.80,1.00,1.60,3.10,9.00,20.00,61.50,9.50
19,E08000016,0.70,7.00,96.10,0.20,0.10,1.50,0.30,0.10,0.20,0.20,0.20,0.10,0.00,0.20,0.20,0.40,0.10,0.00,0.10,0.10,29.10,31.50,47.70,0.20,2.40,10.50,7.80,7.80,21.60,59.00,11.60,0.00,0.00,0.00,0.00,0.00,14.60,36.90,7.70,5.10,2.20,16.40,3.70,4.40,7.00,2.10,1.70,0.80,1.00,2.10,7.80,21.60,59.00,11.60
20,E08000016,0.70,7.00,96.10,0.20,0.10,1.50,0.30,0.10,0.20,0.20,0.20,0.10,0.00,0.20,0.20,0.40,0.10,0.00,0.10,0.10,29.10,31.50,47.70,0.20,2.40,10.50,7.80,7.80,21.60,59.00,11.60,0.00,0.00,0.00,0.00,0.00,14.60,36.90,7.70,5.10,2.20,16.40,3.70,4.40,7.00,2.10,1.70,0.80,1.00,2.10,7.80,21.60,59.00,11.60
21,E07000027,1.00,8.90,97.10,0.30,0.10,0.90,0.20,0.10,0.20,0.10,0.20,0.10,0.10,0.30,0.30,0.10,0.00,0.00,0.10,0.10,27.00,31.40,46.80,0.10,2.30,11.00,8.40,9.90,22.80,60.00,7.30,0.00,0.00,0.00,0.00,0.00,16.60,36.60,6.20,4.60,2.30,17.90,3.20,3.50,7.30,1.70,1.50,0.80,0.70,1.70,9.90,22.80,60.00,7.30
